,Predicted,Actual
0,0.3569060747820048,0.376
1,0.3636107854040039,0.401
2,0.3768935499956855,0.431
3,0.3753414142190799,0.349
4,0.27832184859963993,0.303
5,0.32589965524811026,0.355
6,0.3481595940775796,0.39
7,0.39289362660698884,0.379
8,0.28510430136782916,0.271
9,0.3808366323777427,0.381
10,0.37152378368905387,0.398
11,0.3805593996883883,0.25
12,0.3549795783378117,0.382
13,0.38132885236842684,0.462
14,0.32412376332643855,0.273
15,0.37031043262432134,0.375
16,0.3481496203724356,0.362
17,0.37535440535289666,0.387
18,0.3591705057793237,0.377
19,0.36383757511641973,0.413
