,Predicted,Actual
0,0.3454457041656386,0.376
1,0.4025376968835584,0.401
2,0.40336881483569165,0.431
3,0.3860005247864965,0.349
4,0.34876911013994905,0.303
5,0.34319089276601816,0.355
6,0.35277527487108856,0.39
7,0.3455048645326386,0.379
8,0.34979391610198407,0.271
9,0.37675381604169433,0.381
10,0.3724394550207357,0.398
11,0.3365365981470913,0.25
12,0.3549370511928252,0.382
13,0.3795142150634769,0.462
14,0.34653551332548405,0.273
15,0.35131768029833127,0.375
16,0.3527021941112571,0.362
17,0.349,0.387
18,0.35575809318697615,0.377
19,0.40062750939131125,0.413
